health_region_id,health_region_name,total,from_0_to_9,from_10_to_19,from_20_to_29,from_30_to_39,from_40_to_49,from_50_to_59,from_60_to_69,from_70_to_79,from_80_to_older
11001,Vale do Jamari,274136,45627,47064,48369,44468,36913,26646,15675,7013,2361
11002,Café,172081,24857,26912,29549,28666,24113,18947,11565,5308,2164
11003,Central,343113,50296,53452,57656,56436,47815,38075,23695,11108,4580
11004,Madeira-Mamoré,643452,100879,109717,117999,115621,86471,61640,33636,12833,4656
11005,Zona da Mata,135877,19691,20867,23341,22008,19356,15563,9093,4304,1654
11006,Cone Sul,158113,23968,25101,27603,26771,21977,16975,9675,4402,1641
11007,Vale do Guaporé,50453,8999,8719,9149,7698,6675,4663,2759,1334,457
12001,Alto Acre,71429,13109,14150,12985,10651,8512,5792,3463,1902,865
12002,Baixo Acre e Purus,576027,99199,115603,105616,91989,70073,46202,27954,13503,5888
12003,Juruá e Tarauacá/Envira,234479,55560,54062,41850,32310,22490,13520,8000,4616,2071
13001,"Manaus, Entorno e Alto Rio Negro",2576049,442011,471007,473517,429569,335686,219514,126454,55457,22834
13002,Rio Negro e Solimões,297949,66452,60461,56908,44552,30537,19072,11355,5907,2705
13003,Rio Madeira,199609,41892,37772,39117,31052,21524,14132,8205,4121,1794
13004,Médio Amazonas,172997,38403,33073,31123,24580,19024,12850,7983,4082,1879
13005,Baixo Amazonas,250599,59608,50149,45786,34146,24680,17098,10811,5419,2902
13006,Regional Purus,132588,29467,26093,24331,19914,13792,9250,5651,2894,1196
13007,Regional Juruá,137818,35426,28833,25106,19617,12549,8286,4570,2416,1015
13008,Triângulo,125121,31699,27305,23009,17348,11535,7029,4069,2199,928
13009,Alto Solimões,251867,64576,53925,46783,34675,22470,14811,8212,4450,1965
14001,Centro Norte,515366,95608,91110,101178,90247,62500,39676,22405,9320,3322
14002,Sul,90395,16806,15203,18190,16227,10703,7073,3951,1745,497
15001,Araguaia,566682,90362,104291,110346,99732,74283,46263,25537,11778,4090
15002,Baixo Amazonas,771715,146710,149203,138538,117212,89158,60857,40062,20632,9343
15003,Carajás,875232,155743,172797,167600,149047,102466,65780,37636,17518,6645
15004,Lago de Tucuruí,461593,86179,94872,90892,76303,51427,31468,18747,8649,3056
15006,Metropolitana I,2238680,282580,369166,377415,385044,328570,236527,152999,74371,32008
15007,Metropolitana II,367592,65552,70004,68335,58665,44068,29099,17910,9788,4171
15008,Metropolitana III,939421,163526,179476,175979,151746,112672,74833,46317,24500,10372
15009,Rio Caetés,541251,99509,102227,98478,85747,62756,43252,27798,14650,6834
15010,Tapajós,221135,39175,43161,42518,34413,25197,18707,11217,5003,1744
15011,Tocantins,705089,133290,138045,135253,113589,79237,50401,31740,16283,7251
15012,Xingu,350276,65340,69289,65056,55117,40985,27557,16271,7755,2906
15013,Marajó I,244027,48579,49041,45575,37121,26726,18012,10790,5526,2657
15014,Marajó II,320172,79276,72479,59730,42988,29090,17447,11073,5614,2475
16001,Área Central,566463,103293,109497,107880,94876,69690,42849,23535,10113,4730
16002,Área Norte,69931,16013,14032,12857,10225,7637,5031,2696,1029,411
16003,Área Sudoeste,209337,41657,41895,40441,33143,23336,14655,8369,4025,1816
17001,Médio Norte Araguaia,301862,48609,53420,54717,50205,38295,26543,16810,9005,4258
17002,Bico do Papagaio,209796,38343,36807,36999,32972,24635,17674,12003,6913,3450
17003,Sudeste,98597,16381,15948,17429,14879,12457,9572,6391,3733,1807
17004,Cerrado Tocantins Araguaia,161802,25481,26542,28378,25063,21969,16129,10125,5531,2584
17005,Ilha do Bananal,184257,25473,29043,31232,29396,26104,20109,12893,6859,3148
17006,Capim Dourado,375033,58723,71461,70899,64994,47797,30849,18223,8581,3506
17007,Cantão,130124,19697,21104,21683,20441,17893,13894,8733,4553,2126
17008,Amor Perfeito,111395,18201,18046,19136,17006,14354,10948,7326,4269,2109
21001,Açailândia,297408,54686,61581,55312,46443,32331,22029,14168,7746,3112
21002,Bacabal,269769,46452,51853,47414,41485,31242,22507,15404,8822,4590
21003,Balsas,226350,38756,43788,44282,35448,25094,17984,11545,6335,3118
21004,Barra do Corda,233372,45101,46682,43675,34547,24518,17418,11232,6886,3313
21005,Caxias,305941,54957,60181,52182,45318,33407,25851,18181,10317,5547
21006,Chapadinha,378364,71779,75127,69359,58171,39670,27976,19022,11295,5965
21007,Codó,309057,55368,60023,53582,45993,33396,25751,18177,10992,5775
21008,Imperatriz,542962,85697,100558,97800,88359,66776,46985,30808,17376,8603
21009,Itapecuru Mirim,384775,71666,76398,72421,59378,40567,28758,19460,10546,5581
21010,Pedreiras,218926,35766,39973,37838,33640,25952,19666,13550,8196,4345
21011,Pinheiro,397484,69779,75754,70023,61960,44899,32637,22322,13057,7053
21012,Presidente Dutra,290770,48458,53352,51515,43849,33837,25446,18031,10789,5493
21013,Rosário,300897,58884,60986,56605,45615,31130,21230,14205,7972,4270
21014,Santa Inês,394248,74430,79182,70067,58990,42193,29622,21113,12397,6254
21015,São João dos Patos,246109,40805,45131,44433,36308,27699,22317,15474,9178,4764
21016,São Luís,1454626,186637,254847,258949,263795,201068,141076,86762,41599,19893
21017,Timon,250006,40176,47098,43585,39630,30388,21784,14763,8331,4251
21018,Viana,273027,46965,51215,48885,44168,30904,22373,15077,8616,4824
21019,Zé Doca,301090,56501,60233,56913,47858,32022,21763,14011,8088,3701
22001,Carnaubais,163350,23337,26420,26209,24391,21425,17308,12896,7696,3668
22002,Chapada das Mangabeiras,197346,34297,36489,34769,29871,22606,17448,12072,6679,3115
22003,Cocais,401648,62816,69406,70561,61661,47863,38339,27602,15905,7495
22004,Entre Rios,1232854,169537,209940,208798,206187,164389,125566,85556,43555,19326
22005,Planície Litorânea,280259,42165,48444,48844,44581,36485,27114,17492,10299,4835
22006,Serra da Capivara,148434,22654,25659,25331,23042,18912,14950,9410,5792,2684
22007,Tabuleiros do Alto Parnaíba,47943,8447,9012,8888,7590,5249,4125,2638,1381,613
22008,Vale do Canindé,108908,16169,18029,18298,16409,14082,11329,7738,4690,2164
22009,Vale do Rio Guaribas,376792,52868,62735,63625,56920,50325,41047,26068,16096,7108
22010,Vale do Sambito,106786,14478,16576,16444,15707,14112,12107,8947,5523,2892
22011,Vale dos Rios Piauí e Itaueiras,208907,29861,34237,34070,32122,27016,22171,15661,9297,4472
23001,1ª Região Fortaleza,2841211,357646,437911,495706,496336,392623,313687,194387,104149,48766
23002,2ª Região Caucaia,622473,93100,102000,118187,99265,79455,63535,36419,20403,10109
23003,3ª Região Maracanaú,546089,80426,88252,103564,92097,69093,55144,32174,17244,8095
23004,4ª Região Baturité,140463,21788,22047,25813,21760,16965,14102,9029,5559,3400
23005,5ª Região Canindé,207578,32573,33051,38413,30463,24288,20724,13874,9084,5108
23006,6ª Região Itapipoca,300492,51446,50520,56658,47235,34767,26679,16673,10615,5899
23007,7ª Região Aracati,118788,16258,17506,20959,19919,16221,12698,7861,5095,2271
23008,8ª Região Quixadá,326639,48396,50959,59181,48529,39201,34275,22903,14848,8347
23009,9ª Região Russas,201337,26182,29040,35533,33187,26882,22529,14374,9035,4575
23010,10ª Região Limoeiro do Norte,227481,30001,33172,38438,36242,30171,26178,16979,10822,5478
23011,11ª Região Sobral,651498,96785,103504,122688,102768,79809,64413,40796,26291,14444
23012,12ª Região Acaraú,231596,39079,38609,44231,37472,27636,20317,12238,8120,3894
23013,13ª Região Tianguá,320838,53488,52273,59555,48520,37351,30194,20126,12470,6861
23014,14ª Região Tauá,115619,16482,17083,19902,16727,14562,12732,8814,6090,3227
23015,15ª Região Crateús,299786,42635,43176,50509,42788,38021,34210,23760,15612,9075
23016,16ª Região Camocim,157728,25485,26178,30201,24316,19478,14300,9064,5944,2762
23017,17ª Região Icó,172994,24021,25243,27994,26312,22195,19248,13848,9133,5000
23018,18ª Região Iguatú,323376,44857,46481,52772,50300,41987,36163,25408,16656,8752
23019,19ª Região Brejo Santo,216206,31969,33130,37707,34175,27809,21560,14495,9921,5440
23020,20ª Região Crato,349132,53287,55784,60922,53336,43200,34693,23499,16027,8384
23021,21ª Região Juazeiro do Norte,429364,66981,71231,76767,70316,53952,38861,25681,16688,8887
23022,22ª Região Cascavel,331390,48068,53584,62518,54797,43295,31778,19295,11834,6221
24001,1ª Região de Saúde - São José de Mipibu,385562,61157,62979,68955,61188,48148,38131,21914,15030,8060
24002,2ª Região de Saúde - Mossoró,489496,67001,75631,82238,84346,66730,55096,31003,18251,9200
24003,3ª Região de Saúde - João Câmara,352633,57069,58934,62479,56157,43403,34389,19734,13634,6834
24004,4ª Região de Saúde - Caicó,311037,39495,43725,48846,51158,42184,37429,23668,15631,8901
24005,5ª Região de Saúde - Santa Cruz,201256,30144,31362,35137,31640,24516,20679,13186,9253,5339
24006,6ª Região de Saúde - Pau dos Ferros,251618,34557,36203,39780,40172,32390,28800,19472,12986,7258
24007,7ª Região de Saúde - Metropolitana,1357366,172753,204350,233053,238365,187947,153453,92804,51025,23616
24008,8ª Região de Saúde - Açu,157885,22575,24875,26136,26852,20942,17686,9460,6097,3262
25001,1ª Região Mata Atlântica,1312521,173527,213041,218933,217043,184335,143696,90268,49438,22240
25002,2ª Região,306906,44986,48433,51697,46622,39911,31372,20731,14762,8392
25003,3ª Região,197160,29691,31753,31918,30165,24955,20248,13502,9558,5370
25004,4ª Região,113150,16443,18089,18616,17199,14017,11859,7911,5748,3268
25005,5ª Região,113432,15313,16844,17685,16993,15076,13183,8730,6071,3537
25006,6ª Região,237568,34136,38607,38161,37678,31443,24713,16558,10722,5550
25007,7ª Região,148646,20780,23186,24091,23389,19700,15646,11137,7226,3491
25008,8ª Região,118439,15982,18752,19543,18849,15786,13099,8399,5301,2728
25009,9ª Região,177393,23964,26987,29315,28731,22906,18303,13468,9085,4634
25010,10ª Região,117399,15591,17680,17241,18572,16289,13000,9313,6376,3337
25011,11ª Região,84949,13100,13966,14746,13262,10473,8195,5554,3824,1829
25012,12ª Região,176022,25854,28018,30036,26780,23072,17925,11887,8048,4402
25013,13ª Região,60609,7619,8863,9394,9462,8326,7014,4947,3235,1749
25014,14ª Região,152330,24687,25793,26474,23213,19331,14587,9307,5908,3030
25015,15ª Região,151072,22346,23609,26211,22408,18794,15932,10543,7318,3911
25016,16ª Região,550531,74728,89049,91999,88785,72922,58834,38612,23378,12224
26001,Afogados da Ingazeira,190011,28299,29055,30323,29313,23942,20336,14282,9508,4953
26002,Arcoverde,425162,75310,74636,72140,64382,49292,39431,25655,16346,7970
26003,Caruaru,1377071,209575,230765,240412,220318,176674,133737,84591,53216,27783
26004,Garanhuns,545039,91780,91217,91671,82671,65906,51172,35759,23209,11654
26005,Goiana,315057,47959,50393,52343,49593,41939,32422,21788,12452,6168
26006,Limoeiro,600850,86409,92837,99175,97053,82088,62878,42315,25355,12740
26007,Ouricuri,355864,65573,63593,60525,52528,40818,31437,20366,14186,6838
26008,Palmares,621417,103359,107639,109740,100870,79370,57926,34591,19341,8581
26009,Petrolina,504432,86535,92777,91487,80683,63890,43201,25321,14457,6081
26010,Recife,4234546,539283,634246,681379,690649,619710,490610,328694,172336,77639
26011,Salgueiro,147651,24816,25442,24911,22762,18284,13840,8827,5741,3028
26012,Serra Talhada,239971,38725,39619,39703,37197,30071,23310,15380,10517,5449
27001,1ª Região de Saúde,1276125,174985,220301,220267,202720,179066,134297,85536,41481,17472
27002,2ª Região de Saúde,165430,29689,32717,30260,24474,20109,13547,8443,4299,1892
27003,3ª Região de Saúde,224096,39534,42999,40410,33013,26413,18963,12759,6859,3146
27004,4ª Região de Saúde,143826,24549,27227,25359,21492,17282,12616,8605,4593,2103
27005,5ª Região de Saúde,238700,40351,46399,43297,37161,28293,20162,13285,6961,2791
27006,6ª Região de Saúde,206303,33161,37001,37035,32381,25516,19249,12203,6535,3222
27007,7ª Região de Saúde,528520,81911,93764,94325,80966,64552,51059,33508,19858,8577
27008,8ª Região de Saúde,157011,23183,25738,25630,23865,20002,16182,11453,7489,3469
27009,9ª Região de Saúde,236588,42321,43924,43769,33093,26547,20892,13277,8557,4208
27010,10ª Região de Saúde,160758,28391,29898,28577,23234,18176,14267,9331,6106,2778
28001,Aracaju,860938,115606,134945,146310,153391,122684,90605,57093,28251,12053
28002,Estância,246282,40733,41538,44546,39141,31170,23517,14371,7773,3493
28003,Itabaiana,252805,36959,39704,45067,40768,33895,25484,16707,9659,4562
28004,Lagarto,260614,37061,40598,47033,41179,34473,27448,17237,10534,5051
28005,Nossa Senhora da Glória,173135,29541,30167,32179,26967,21433,15701,9333,5454,2360
28006,Nossa Senhora do Socorro,345523,55357,59433,65202,55894,44310,34121,18877,8776,3553
28007,Propriá,159399,26005,26061,28335,25020,20151,15852,9611,5574,2790
29001,Alagoinhas,538747,79629,87423,93500,87896,72498,53468,34083,19864,10386
29002,Barreiras,461047,73565,81439,84695,79667,56478,40608,24755,13468,6372
29003,Brumado,406014,51959,61114,66998,66807,52881,44199,30561,20279,11216
29004,Camaçari,626537,94890,107725,111011,112019,88045,57646,34491,14822,5888
29005,Cruz das Almas,265033,35661,41375,44273,46471,37729,27384,17002,9592,5546
29006,Feira de Santana,1150832,156651,182293,191960,194000,159820,118571,77628,46213,23696
29007,Guanambi,456064,60273,69118,76571,74027,58633,49919,34175,21495,11853
29008,Ibotirama,195467,32092,32501,34916,29870,22458,18313,12605,8302,4410
29009,Ilhéus,298681,44286,47191,47974,46670,39146,32434,22724,12108,6148
29010,Irecê,413611,64702,68425,68127,62693,52662,42198,28312,17798,8694
29011,Itaberaba,251369,38854,41358,42917,38549,31064,24476,16979,11057,6115
29012,Itabuna,506504,70591,78463,79719,81549,65985,54961,40688,22582,11966
29013,Itapetinga,247367,35400,40114,39985,40130,31546,25278,17721,11161,6032
29014,Jacobina,392323,59337,61555,64939,60965,50664,39750,27575,18356,9182
29015,Jequié,489413,68928,75315,78509,77784,62977,51986,38668,22157,13089
29016,Juazeiro,533013,87034,94287,90774,81617,68218,50127,31681,19684,9591
29017,Paulo Afonso,252764,38865,42708,42389,38773,33457,24974,16224,10373,5001
29018,Porto Seguro,381727,62791,68382,65748,60760,49329,35403,22890,11461,4963
29019,Ribeira do Pombal,324181,45759,51135,56186,49098,41389,34549,22402,15661,8002
29020,Salvador,3400621,386811,500690,546217,606197,525613,393386,261107,124241,56359
29021,Santa Maria da Vitória,301737,46369,48329,51077,47342,37525,30684,20734,12967,6710
29022,Santo Antônio de Jesus,459312,63396,71071,76680,77294,64032,48563,30688,17234,10354
29023,Seabra,184730,27592,30005,31211,28474,22607,18595,13021,8412,4813
29024,Senhor do Bonfim,297714,44601,48542,49389,45723,39627,29930,20064,13146,6692
29025,Serrinha,632552,93604,101415,106336,99415,81781,63360,42089,29620,14932
29026,Teixeira de Freitas,452773,69095,74546,77303,71302,58304,46288,30934,16837,8164
29027,Valença,312014,49957,53928,55733,51070,38570,29464,18991,9553,4748
29028,Vitória da Conquista,640917,89324,104000,102481,101778,84164,68036,46497,29348,15289
31001,Alfenas / Machado,302098,37201,39882,46576,45449,41440,38663,28855,15821,8211
31002,Guaxupé,144742,16502,18379,22896,22828,20047,18684,13890,7493,4023
31003,Itajubá,205172,24188,26427,32282,31313,28666,27036,19235,10433,5592
31004,Lavras,184586,21319,24334,29348,29344,25337,23285,17767,9057,4795
31006,Poços de Caldas,238398,26827,30396,36025,37534,34173,30165,23824,12911,6543
31007,Pouso Alegre,548821,65118,72961,87444,86777,77380,69438,49731,26708,13264
31008,São Lourenço,263323,30945,33227,40168,38700,36262,35345,26331,14499,7846
31009,São Sebastião do Paraíso,125982,14930,16411,19474,19237,16923,15738,12637,6866,3766
31010,Três Corações,133506,17313,18994,22376,20793,17936,15955,11454,5731,2954
31011,Três Pontas,125507,15689,17001,20146,18924,17162,15490,11882,6010,3203
31012,Varginha,201309,24731,27291,32201,32348,28052,24550,18610,9067,4459
31013,Barbacena,238637,26908,30362,37467,36364,34040,32152,22744,12361,6239
31015,São João Del Rei,240651,26827,30709,37084,36187,34784,33202,23171,12287,6400
31016,Belo Horizonte/ Nova Lima/ Caeté,3411258,385279,458276,536151,571397,494753,410110,306278,164821,84193
31017,Betim,728243,100549,107792,127977,119290,101653,81925,53613,24474,10970
31018,Contagem,876811,113037,127647,149561,149060,127618,98722,66816,31335,13015
31019,Curvelo,185711,23420,25179,30352,28526,25263,22994,16129,8986,4862
31020,Guanhães,93123,12634,12802,15728,13720,12020,10846,7707,4735,2931
31021,Itabira,237098,29903,31838,38588,38591,33473,28962,19729,10282,5732
31022,Ouro Preto,186880,23452,26411,31857,31523,25859,21766,14794,7476,3742
31023,João Monlevade,139441,16350,18193,20953,21435,19089,18603,13228,7582,4008
31024,Sete Lagoas,449072,54283,60573,74460,71982,62663,56570,38284,20113,10144
31025,Vespasiano,328997,43054,47988,56447,54103,46709,37981,25114,11949,5652
31026,Diamantina,142504,19821,19977,24923,23153,18400,15992,10544,6193,3501
31027,Turmalina/Minas Novas/Capelinha,124958,19371,19423,23214,21621,15134,11902,7939,4225,2129
31028,Bom Despacho,107489,12103,13735,16810,16109,15207,14441,10184,5835,3065
31030,Formiga,122971,12378,14718,18699,19088,17550,17350,12496,7003,3689
31031,Itaúna,124127,14094,16127,20255,19794,17859,16241,11148,5751,2858
31032,Pará de Minas,252399,34682,42243,45742,44410,33075,24925,15793,7739,3790
31034,Caratinga,203324,26837,27786,31564,31093,28578,24583,17492,9725,5666
31035,Coronel Fabriciano/Timóteo,231628,28590,31769,36357,36869,31879,29416,20682,10516,5550
31036,Governador Valadares,430602,57915,61426,68244,65474,57527,51150,36191,21056,11619
31037,Ipatinga,409191,52934,57476,65246,66620,56568,47028,36367,17844,9108
31038,Mantena,70031,9089,9153,10197,10488,10190,8785,6298,3689,2142
31040,Resplendor,89267,11715,11811,13210,12556,12341,11258,8401,5058,2917
31041,Além  Paraíba,57311,6742,7383,8848,8305,7811,7590,5644,3107,1881
31042,Carangola,128704,17247,18281,20585,19348,17356,15291,11298,5916,3382
31044,Leopoldina / Cataguases,183358,19930,22189,27249,27919,25566,24680,18644,10980,6201
31045,Muriaé,174538,20246,22339,26747,28025,24064,22226,16645,9057,5189
31046,Santos Dumont,50683,5663,6139,7737,7533,6988,7103,5205,2819,1496
31047,São João Nepomuceno / bicas,73081,8261,9225,11381,10909,9515,9864,7334,4093,2499
31048,Ubá,316719,37785,42178,50446,50102,43508,40442,28169,15342,8747
31049,Brasília de Minas/São Francisco,233905,37567,35173,41867,37165,27535,22937,16249,10098,5314
31050,Coração de Jesus,47569,6868,6279,8009,7451,6162,5516,3824,2267,1193
31051,Francisco Sá,74504,11691,11522,13566,11767,8843,7608,5078,2952,1477
31052,Janaúba/Monte Azul,278394,40759,40262,47845,45563,35018,29756,20679,12279,6233
31053,Januária,116874,19305,17688,20171,18047,13400,11894,8380,5123,2866
31055,Pirapora,146991,21977,21726,25102,24124,19046,15831,11108,5412,2665
31057,Patos de Minas,263568,30834,34331,42056,40500,38434,34432,23907,12844,6230
